Date;Open;High;Low;Close*;Adj Close**;Volume
Jun 01, 2021;504.01;536.13;482.14;528.21;528.21;78560600
May 01, 2021;512.65;518.95;478.54;502.81;502.81;66927600
Apr 01, 2021;529.93;563.56;499.00;513.47;513.47;111573300
Mar 01, 2021;545.57;556.99;492.85;521.66;521.66;90183900
Feb 01, 2021;536.79;566.65;518.28;538.85;538.85;61902300
Jan 01, 2021;539.00;593.29;485.67;532.39;532.39;139988600
Dec 01, 2020;492.34;545.50;491.29;540.73;540.73;77564100
Nov 01, 2020;478.87;518.73;463.41;490.70;490.70;91788900
Oct 01, 2020;506.03;572.49;472.21;475.74;475.74;154302400
Sep 01, 2020;532.60;557.39;458.60;500.03;500.03;118796900
Aug 01, 2020;490.86;549.04;466.55;529.56;529.56;116261900
Jul 01, 2020;454.00;575.37;454.00;488.88;488.88;232206300
Jun 01, 2020;418.83;474.01;404.25;455.04;455.04;117279900
May 01, 2020;415.10;458.97;397.86;419.73;419.73;135055800
Apr 01, 2020;376.05;449.52;357.51;419.85;419.85;225111600
Mar 01, 2020;373.11;393.52;290.25;375.50;375.50;201979100
Feb 01, 2020;347.24;392.95;346.28;369.03;369.03;114056000
Jan 01, 2020;326.10;359.85;321.20;345.09;345.09;169874000
Dec 01, 2019;314.39;338.00;292.02;323.57;323.57;124723600
Nov 01, 2019;288.70;316.82;281.14;314.66;314.66;113645900
Oct 01, 2019;267.35;308.75;257.01;287.41;287.41;231556400
Sep 01, 2019;290.82;301.55;252.28;267.62;267.62;175411300
Aug 01, 2019;324.25;328.58;287.20;293.75;293.75;137076700
Jul 01, 2019;373.50;384.76;305.81;322.99;322.99;196652500
Jun 01, 2019;343.56;375.00;332.65;367.32;367.32;111052000
May 01, 2019;374.00;385.99;341.39;343.28;343.28;125298300
Apr 01, 2019;359.00;384.80;342.27;370.54;370.54;165079400
Mar 01, 2019;362.26;379.00;342.47;356.56;356.56;144843100
Feb 01, 2019;337.18;371.49;336.50;358.10;358.10;148192100
Jan 01, 2019;259.28;358.85;256.58;339.50;339.50;306616400
Dec 01, 2018;293.19;298.72;231.23;267.66;267.66;234310000
Nov 01, 2018;304.59;332.05;250.00;286.13;286.13;257126400
Oct 01, 2018;375.85;386.80;271.21;301.78;301.78;363589800
Sep 01, 2018;366.47;383.20;335.83;374.13;374.13;170832100
Aug 01, 2018;335.87;376.81;310.93;367.68;367.68;213122300
Jul 01, 2018;385.45;419.77;328.00;337.45;337.45;305393800
Jun 01, 2018;353.88;423.21;352.82;391.43;391.43;244031800
May 01, 2018;310.36;356.10;305.73;351.60;351.60;142050800
Apr 01, 2018;291.94;338.82;271.22;312.46;312.46;262006000
Mar 01, 2018;292.75;333.98;275.90;295.35;295.35;263449400
Feb 01, 2018;266.41;297.36;236.11;291.38;291.38;184585800
Jan 01, 2018;196.10;286.81;195.42;270.30;270.30;238377600
Dec 01, 2017;186.99;194.49;178.38;191.96;191.96;115103700
Nov 01, 2017;197.24;202.48;184.32;187.58;187.58;110996600
Oct 01, 2017;182.11;204.38;176.58;196.43;196.43;208657800
Sep 01, 2017;175.55;189.95;172.44;181.35;181.35;111427900
Aug 01, 2017;182.49;184.62;164.23;174.71;174.71;136534400
Jul 01, 2017;149.80;191.50;144.25;181.66;181.66;185144700
Jun 01, 2017;163.52;166.87;147.30;149.41;149.41;135699700
May 01, 2017;151.91;164.75;151.61;163.07;163.07;116795800
Apr 01, 2017;146.70;153.52;138.66;152.20;152.20;149779000
Mar 01, 2017;142.84;148.29;138.26;147.81;147.81;110692700
Feb 01, 2017;141.20;145.95;139.05;142.13;142.13;91444800
Jan 01, 2017;124.96;143.46;124.31;140.71;140.71;181814100
Dec 01, 2016;117.52;129.07;113.95;123.80;123.80;128528700
Nov 01, 2016;124.98;125.83;110.68;117.00;117.00;147513000
Oct 01, 2016;98.00;129.29;97.63;124.87;124.87;274097800
Sep 01, 2016;97.81;100.35;93.26;98.55;98.55;169670600
Aug 01, 2016;91.23;98.85;90.50;97.45;97.45;182611000
Jul 01, 2016;95.00;101.27;84.50;91.25;91.25;320138000
Jun 01, 2016;101.50;102.15;84.81;91.48;91.48;218216500
May 01, 2016;90.41;104.00;85.74;102.57;102.57;264997900
Apr 01, 2016;102.93;111.85;88.21;90.03;90.03;340174300
Mar 01, 2016;94.58;104.91;93.61;102.23;102.23;311333700
Feb 01, 2016;91.79;97.48;79.95;93.41;93.41;389268900
Jan 01, 2016;109.00;122.18;90.11;91.84;91.84;488193200
Dec 01, 2015;124.47;133.27;113.85;114.38;114.38;319939200
Nov 01, 2015;109.20;126.60;101.86;123.33;123.33;320321800
Oct 01, 2015;102.91;115.83;96.26;108.38;108.38;446204400
Sep 01, 2015;109.35;111.24;93.55;103.26;103.26;497401200
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.;*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.;*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.;*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.;*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.;*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.;*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
